month,airport,total_flights,cancelled_flights,more_than_fifteen_minutes_early,fifteen_to_one_minute_early,zero_to_fifteen_minutes_late,sixteen_to_thirty_minutes_late,thirtyone_to_sixty_minutes_late,sixtyone_to_onehundred_and_twenty_minutes_late,onehundred_and_twentyone_to_onehundred_and_eighty_minutes_late,onehundred_and_eightyone_to_threehundred_and_sixty_minutes_late,more_than_threehundred_and_sixty_minutes_late,average_delay_minutes
JAN,ABERDEEN,1380,55,8.501742,45.505226,26.829268,7.735192,4.111498,2.369338,1.045296,0.069686,0,8.85
JAN,BELFAST CITY (GEORGE BEST),1032,22,26.565465,54.743833,11.954459,2.371917,1.518027,0.474383,0.189753,0.094877,0,2.75
JAN,BELFAST INTERNATIONAL,1956,0,11.707566,64.723926,16.206544,3.271984,2.760736,1.07362,0.204499,0.051125,0,4.06
JAN,BIRMINGHAM,2751,55,14.290805,38.987883,28.047042,7.626515,6.272274,2.352103,0.356379,0.071276,0.035638,9.19
JAN,BOURNEMOUTH,214,0,7.476636,39.252336,40.654206,8.411215,2.336449,0.934579,0.934579,0,0,7
JAN,BRISTOL,2216,22,12.511171,53.440572,21.447721,5.585344,3.217158,1.876676,0.49151,0.312779,0.134048,7.55
JAN,CARDIFF WALES,203,0,11.165049,47.087379,25.728155,4.854369,5.825243,2.912621,0.970874,0,0,8.93
JAN,DONCASTER SHEFFIELD,229,0,8.296943,34.497817,27.510917,13.537118,12.663755,2.183406,1.310044,0,0,13.88
JAN,EAST MIDLANDS INTERNATIONAL,612,6,16.828479,47.087379,22.653722,6.796117,3.559871,0.970874,0.970874,0.161812,0,7.03
JAN,EDINBURGH,3680,51,14.875369,49.450549,21.575985,6.861431,3.80595,1.366926,0.402037,0.21442,0.080407,7
JAN,EXETER,252,0,21.73913,51.778656,16.996047,3.557312,1.185771,4.347826,0,0,0,5.98
JAN,GATWICK,6952,42,14.841293,48.427223,22.176151,6.534172,4.074921,2.316271,0.614813,0.386045,0.028596,8.44
JAN,GLASGOW,2810,78,12.534626,53.878116,19.806094,4.605263,3.012465,2.493075,0.484765,0.484765,0,7.29
JAN,HEATHROW,20565,260,16.883553,36.585834,26.237695,8.993998,6.184874,2.67467,0.609844,0.441777,0.139256,11.61
JAN,ISLE OF MAN,430,2,15.277778,52.083333,21.990741,4.398148,3.935185,1.62037,0.231481,0,0,4.97
JAN,JERSEY,838,20,18.065268,48.135198,22.261072,2.797203,2.680653,2.447552,0.4662,0.815851,0,7.89
JAN,LEEDS BRADFORD,750,15,16.20915,45.751634,25.620915,3.921569,3.398693,1.176471,0.915033,1.045752,0,8.22
JAN,LIVERPOOL (JOHN LENNON),1201,2,8.312552,63.424771,17.788861,5.070657,3.325021,1.496259,0.332502,0.083126,0,5.31
JAN,LONDON CITY,1366,59,20.350877,44.842105,23.859649,3.859649,2.315789,0.421053,0.210526,0,0,3.75
JAN,LUTON,3883,16,8.284175,46.52475,26.776096,10.284688,5.411644,1.667094,0.410362,0.179533,0.051295,8.77
JAN,MANCHESTER,6728,126,11.219726,40.326816,27.896119,8.724832,6.448789,2.640794,0.627371,0.21885,0.05836,10.64
JAN,NEWCASTLE,1258,27,9.571984,51.361868,26.225681,5.058366,3.11284,1.712062,0.544747,0.233463,0.077821,6.6
JAN,SOUTHAMPTON,852,66,15.686275,46.732026,19.172113,4.030501,3.267974,2.287582,0.980392,0.653595,0,8.36
JAN,SOUTHEND,0,0,0,0,0,0,0,0,0,0,0,0
JAN,STANSTED,6452,26,8.675517,50.046311,26.6749,7.841927,4.167953,1.481939,0.401358,0.262427,0.046311,7.84
JAN,TEESSIDE INTERNATIONAL AIRPORT,176,0,11.931818,59.659091,21.022727,6.25,0,1.136364,0,0,0,2.89
FEB,ABERDEEN,1466,97,4.028133,35.421995,29.028133,10.549872,6.265985,5.11509,1.726343,1.534527,0.063939,19.19
FEB,BELFAST CITY (GEORGE BEST),1062,55,15.756491,50.223814,18.263205,3.849597,3.581021,1.880036,1.432408,0,0.089526,7.81
FEB,BELFAST INTERNATIONAL,2210,0,4.570136,47.963801,26.38009,9.095023,6.244344,4.38914,0.723982,0.588235,0.045249,12.62
FEB,BIRMINGHAM,3183,43,10.353379,29.107254,30.750155,12.244265,9.919405,3.967762,1.208927,0.929944,0.185989,18.25
FEB,BOURNEMOUTH,290,0,6.551724,33.793103,38.275862,9.310345,6.551724,4.482759,0.689655,0.344828,0,12.68
FEB,BRISTOL,2867,51,4.215216,38.245374,31.528444,9.355723,7.642221,4.523646,0.856751,1.542152,0.3427,19.05
FEB,CARDIFF WALES,197,0,5.050505,41.919192,36.363636,6.565657,3.030303,3.535354,0,2.525253,0.505051,17.06
FEB,DONCASTER SHEFFIELD,188,0,3.191489,24.468085,30.319149,17.021277,20.212766,3.191489,0.531915,0.531915,0.531915,20.69
FEB,EAST MIDLANDS INTERNATIONAL,806,3,11.248455,42.150803,30.53152,9.270705,4.202719,0.865266,0.865266,0.494438,0,8.56
FEB,EDINBURGH,4426,118,6.734155,39.414613,27.640845,10.695423,8.03257,3.653169,0.924296,0.308099,0,12.91
FEB,EXETER,232,0,12.5,48.706897,22.844828,6.465517,5.172414,2.586207,1.724138,0,0,9.33
FEB,GATWICK,8466,117,9.716882,38.040312,30.595363,9.390656,5.872073,3.064197,1.060235,0.74566,0.151462,13.27
FEB,GLASGOW,2919,139,6.213211,39.175932,27.992152,8.927404,6.311315,4.381949,1.733159,0.654022,0.065402,14.94
FEB,HEATHROW,18920,869,13.719743,30.092476,27.292941,9.853959,7.357623,4.249836,1.6777,0.990449,0.373945,19.49
FEB,ISLE OF MAN,437,27,4.956897,40.517241,29.741379,7.327586,4.094828,2.801724,2.37069,1.508621,0.862069,29.31
FEB,JERSEY,884,32,9.934498,41.266376,24.017467,6.441048,7.641921,4.257642,1.746725,1.200873,0,15.27
FEB,LEEDS BRADFORD,914,42,13.075314,37.238494,26.359833,8.577406,4.916318,3.242678,1.25523,0.83682,0.104603,12.5
FEB,LIVERPOOL (JOHN LENNON),1494,19,4.230007,46.463979,26.834104,9.187046,6.543291,4.2961,0.594845,0.528751,0.066094,12.42
FEB,LONDON CITY,1926,117,15.614293,35.0465,29.613314,7.586882,4.258443,1.615272,0.391581,0.097895,0.048948,8.29
FEB,LUTON,4236,50,4.409706,33.831078,32.314512,13.159123,8.166122,3.989734,1.656556,0.933271,0.373308,18.14
FEB,MANCHESTER,7967,151,6.31929,28.073417,30.943582,13.365361,10.445923,6.639566,1.416605,0.788372,0.14782,20.24
FEB,NEWCASTLE,1337,71,8.380682,41.335227,28.90625,8.096591,5.326705,2.556818,0.142045,0.213068,0,9.07
FEB,SOUTHAMPTON,875,101,8.401639,38.729508,23.258197,6.659836,5.22541,4.405738,2.151639,0.819672,0,15.57
FEB,STANSTED,8311,55,5.725556,42.85202,30.588095,9.168061,5.797275,3.179536,1.099689,0.753048,0.179297,13.34
FEB,TEESSIDE INTERNATIONAL AIRPORT,184,0,4.347826,53.26087,29.891304,7.065217,3.26087,2.173913,0,0,0,6.14
MAR,ABERDEEN,2007,47,7.302824,46.153846,25.803311,7.108082,5.111977,3.99221,1.801363,0.438169,0,12.44
MAR,BELFAST CITY (GEORGE BEST),1267,12,22.36122,51.133698,17.35731,4.143862,2.345582,1.172791,0.39093,0.156372,0,4.72
MAR,BELFAST INTERNATIONAL,2706,0,7.021434,55.506282,25.388027,6.171471,3.436807,1.589061,0.591279,0.295639,0,7.07
MAR,BIRMINGHAM,4203,25,12.488174,34.673605,32.994324,10.501419,5.392621,2.483444,0.614948,0.189215,0.070956,10.2
MAR,BOURNEMOUTH,324,0,8.024691,44.753086,33.024691,6.790123,4.012346,3.08642,0.308642,0,0,7.61
MAR,BRISTOL,3758,20,8.178931,44.229751,31.68343,7.358391,4.92324,2.276337,0.608788,0.185283,0.026469,8.76
MAR,CARDIFF WALES,336,0,3.254438,31.360947,43.786982,11.83432,7.692308,0.295858,0.591716,0.591716,0,10.5
MAR,DONCASTER SHEFFIELD,317,0,14.511041,37.85489,30.599369,9.77918,5.362776,1.26183,0.315457,0.315457,0,7.79
MAR,EAST MIDLANDS INTERNATIONAL,1083,4,13.523459,51.701932,24.74701,5.151794,2.851886,1.103956,0.275989,0.183993,0.091996,5.7
MAR,EDINBURGH,5841,56,12.090894,46.023402,25.979312,8.00407,4.612515,1.577073,0.542649,0.203493,0.016958,7.86
MAR,EXETER,330,0,6.666667,54.848485,25.454545,6.969697,4.242424,1.818182,0,0,0,6.1
MAR,GATWICK,11942,81,14.106296,40.331032,29.17741,8.059553,4.9738,1.962904,0.407552,0.199617,0.108126,8.81
MAR,GLASGOW,4048,89,11.82016,45.854484,26.806865,5.245347,4.302635,2.948997,0.555958,0.290065,0.024172,8.79
MAR,HEATHROW,26734,472,12.346541,28.791443,29.927222,12.666324,9.185474,3.819011,0.915239,0.492538,0.121297,15.48
MAR,ISLE OF MAN,598,4,5.149502,50.664452,28.239203,7.30897,4.318937,2.657807,0.664452,0.332226,0,8.83
MAR,JERSEY,1107,24,5.658709,45.888594,29.177719,8.488064,5.570292,1.768347,0.795756,0.530504,0,9.89
MAR,LEEDS BRADFORD,1304,28,14.414414,40.165165,27.927928,6.456456,3.753754,2.552553,1.351351,1.276276,0,11.53
MAR,LIVERPOOL (JOHN LENNON),2008,3,9.000497,55.246146,23.272004,6.364993,3.97812,1.491795,0.397812,0.099453,0,6.46
MAR,LONDON CITY,3030,82,12.210797,40.134961,33.226221,6.587404,3.534704,1.092545,0.385604,0.128535,0.064267,6.68
MAR,LUTON,5927,9,6.418464,41.442049,31.030997,10.158356,6.822776,3.082884,0.623315,0.219003,0.050539,11.04
MAR,MANCHESTER,10119,82,8.665817,31.144005,33.349672,11.75375,8.50897,4.254485,1.117537,0.36271,0.039212,14.47
MAR,NEWCASTLE,1795,17,9.381898,41.390728,32.339956,6.843267,5.13245,2.704194,0.827815,0.275938,0.165563,10.63
MAR,SOUTHAMPTON,1168,25,7.544007,47.108131,28.83487,6.370495,3.939648,3.688181,0.335289,0.083822,0,8.87
MAR,STANSTED,10758,29,9.622694,47.937332,29.396496,6.637619,4.292204,1.464726,0.21322,0.157597,0.00927,6.77
MAR,TEESSIDE INTERNATIONAL AIRPORT,236,0,5.932203,56.355932,22.457627,4.237288,4.237288,5.508475,0.423729,0.847458,0,11.83
